"Gene_ID" "Entrez_Gene_ID" "Gene_Symbol" "Protein_ID" "Product" "Chrom" "Start" "End" "length" "Strand" "Type" "Locus_Tag"
"1236" "Rv1170" 885997 "mshB" "NP_215686.1" "1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase" "NC_000962.3" 1300304 1301215 911 "+" "protein_coding" "Rv1170"
"1237" "Rv1171" 885986 "." "NP_215687.2" "hypothetical protein" "NC_000962.3" 1301307 1301747 440 "+" "protein_coding" "Rv1171"
"1238" "Rv1172c" 885988 "PE12" "YP_177793.1" "PE family protein PE12" "NC_000962.3" 1301755 1302681 926 "-" "protein_coding" "Rv1172c"
"1239" "Rv1173" 886061 "fbiC" "NP_215689.1" "FO synthase" "NC_000962.3" 1302931 1305501 2570 "+" "protein_coding" "Rv1173"
"1240" "Rv1174c" 886082 "TB8.4" "NP_215690.1" "low molecular weight T-cell antigen" "NC_000962.3" 1305669 1306001 332 "-" "protein_coding" "Rv1174c"
"1241" "Rv1175c" 886053 "fadH" "NP_215691.1" "NADPH dependent 2,4-dienoyl-CoA reductase FadH" "NC_000962.3" 1306202 1308226 2024 "-" "protein_coding" "Rv1175c"
"1242" "Rv1176c" 886080 "." "NP_215692.1" "hypothetical protein" "NC_000962.3" 1308223 1308792 569 "-" "protein_coding" "Rv1176c"
"1243" "Rv1177" 885869 "fdxC" "NP_215693.1" "ferredoxin FdxC" "NC_000962.3" 1309005 1309331 326 "+" "protein_coding" "Rv1177"
"1244" "Rv1178" 886031 "." "NP_215694.1" "aminotransferase" "NC_000962.3" 1309364 1310452 1088 "+" "protein_coding" "Rv1178"
"1245" "Rv1179c" 886083 "." "NP_215695.1" "hypothetical protein" "NC_000962.3" 1310480 1313299 2819 "-" "protein_coding" "Rv1179c"
"1246" "Rv1180" 886055 "pks3" "NP_215696.1" "polyketide beta-ketoacyl synthase" "NC_000962.3" 1313725 1315191 1466 "+" "protein_coding" "Rv1180"
"1247" "Rv1181" 886081 "pks4" "NP_215697.1" "polyketide beta-ketoacyl synthase" "NC_000962.3" 1315234 1319982 4748 "+" "protein_coding" "Rv1181"
"1248" "Rv1182" 886072 "papA3" "NP_215698.1" "acyltransferase papA3" "NC_000962.3" 1320035 1321453 1418 "+" "protein_coding" "Rv1182"
"1249" "Rv1183" 886068 "mmpL10" "NP_215699.1" "transmembrane transport protein MmpL10" "NC_000962.3" 1321520 1324528 3008 "+" "protein_coding" "Rv1183"
"1250" "Rv1184c" 886063 "." "NP_215700.1" "hypothetical protein" "NC_000962.3" 1324532 1325611 1079 "-" "protein_coding" "Rv1184c"
"1251" "Rv1185c" 886065 "fadD21" "NP_215701.1" "fatty-acid--CoA ligase FadD21" "NC_000962.3" 1325776 1327512 1736 "-" "protein_coding" "Rv1185c"
"1252" "Rv1186c" 886057 "." "NP_215702.1" "hypothetical protein" "NC_000962.3" 1327689 1329305 1616 "-" "protein_coding" "Rv1186c"
"1253" "Rv1187" 886058 "rocA" "NP_215703.1" "pyrroline-5-carboxylate dehydrogenase RocA" "NC_000962.3" 1329390 1331021 1631 "+" "protein_coding" "Rv1187"
"1254" "Rv1188" 886054 "." "NP_215704.1" "proline dehydrogenase" "NC_000962.3" 1331021 1332010 989 "+" "protein_coding" "Rv1188"
"1255" "Rv1189" 886079 "sigI" "NP_215705.1" "ECF RNA polymerase sigma factor SigI" "NC_000962.3" 1332092 1332964 872 "+" "protein_coding" "Rv1189"
"1256" "Rv1190" 886049 "." "NP_215706.1" "hypothetical protein" "NC_000962.3" 1332980 1333858 878 "+" "protein_coding" "Rv1190"
"1257" "Rv1191" 886041 "." "NP_215707.1" "hypothetical protein" "NC_000962.3" 1333931 1334845 914 "+" "protein_coding" "Rv1191"
"1258" "Rv1192" 886007 "." "NP_215708.1" "hypothetical protein" "NC_000962.3" 1334927 1335754 827 "+" "protein_coding" "Rv1192"
"1259" "Rv1193" 886074 "fadD36" "NP_215709.1" "fatty-acid--CoA ligase FadD36" "NC_000962.3" 1335794 1337215 1421 "+" "protein_coding" "Rv1193"
"1260" "Rv1194c" 886040 "." "NP_215710.1" "hypothetical protein" "NC_000962.3" 1337248 1338513 1265 "-" "protein_coding" "Rv1194c"
"1261" "Rv1195" 886044 "PE13" "YP_177794.1" "PE family protein PE13" "NC_000962.3" 1339003 1339302 299 "+" "protein_coding" "Rv1195"
"1262" "Rv1196" 886073 "PPE18" "YP_177795.1" "PPE family protein PPE18" "NC_000962.3" 1339349 1340524 1175 "+" "protein_coding" "Rv1196"
"1263" "Rv1197" 886051 "esxK" "NP_215713.1" "ESAT-6 like protein EsxK" "NC_000962.3" 1340659 1340955 296 "+" "protein_coding" "Rv1197"
"1264" "Rv1198" 886090 "esxL" "NP_215714.1" "ESAT-6 like protein EsxL" "NC_000962.3" 1341006 1341290 284 "+" "protein_coding" "Rv1198"
"1265" "Rv1199c" 886092 "." "NP_215715.1" "insertion sequence element IS1081 transposase" "NC_000962.3" 1341358 1342605 1247 "-" "protein_coding" "Rv1199c"
"1266" "Rv1200" 886087 "." "NP_215716.1" "integral membrane transport protein" "NC_000962.3" 1342942 1344219 1277 "+" "protein_coding" "Rv1200"
"1267" "Rv1201c" 886088 "dapD" "NP_215717.1" "2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase" "NC_000962.3" 1344216 1345169 953 "-" "protein_coding" "Rv1201c"
"1268" "Rv1202" 887386 "dapE" "YP_177796.1" "succinyl-diaminopimelate desuccinylase DapE" "NC_000962.3" 1345260 1346324 1064 "+" "protein_coding" "Rv1202"
"1269" "Rv1203c" 886086 "." "NP_215719.1" "hypothetical protein" "NC_000962.3" 1346321 1346905 584 "-" "protein_coding" "Rv1203c"
"1270" "Rv1204c" 887552 "." "NP_215720.1" "hypothetical protein" "NC_000962.3" 1346936 1348624 1688 "-" "protein_coding" "Rv1204c"
"1271" "Rv1205" 886075 "." "NP_215721.1" "hypothetical protein" "NC_000962.3" 1348719 1349282 563 "+" "protein_coding" "Rv1205"
"1272" "Rv1206" 887549 "fadD6" "NP_215722.1" "fatty-acid--CoA ligase FadD6" "NC_000962.3" 1349332 1351125 1793 "+" "protein_coding" "Rv1206"
"1273" "Rv1207" 887447 "folP2" "NP_215723.1" "dihydropteroate synthase" "NC_000962.3" 1351191 1352147 956 "+" "protein_coding" "Rv1207"
"1274" "Rv1208" 886085 "gpgS" "NP_215724.1" "glucosyl-3-phosphoglycerate synthase" "NC_000962.3" 1352144 1353118 974 "+" "protein_coding" "Rv1208"
"1275" "Rv1209" 887600 "." "NP_215725.1" "hypothetical protein" "NC_000962.3" 1353157 1353525 368 "+" "protein_coding" "Rv1209"
"1276" "Rv1210" 888035 "tagA" "NP_215726.1" "DNA-3-methyladenine glycosylase I TagA" "NC_000962.3" 1353522 1354136 614 "+" "protein_coding" "Rv1210"
"1277" "Rv1211" 887990 "." "NP_215727.1" "hypothetical protein" "NC_000962.3" 1354243 1354470 227 "+" "protein_coding" "Rv1211"
"1278" "Rv1212c" 887805 "glgA" "NP_215728.1" "capsular glucan synthase" "NC_000962.3" 1354498 1355661 1163 "-" "protein_coding" "Rv1212c"
"1279" "Rv1213" 887933 "glgC" "NP_215729.1" "glucose-1-phosphate adenylyltransferase" "NC_000962.3" 1355836 1357050 1214 "+" "protein_coding" "Rv1213"
"1280" "Rv1214c" 888362 "PE14" "YP_177797.1" "PE family protein PE14" "NC_000962.3" 1357293 1357625 332 "-" "protein_coding" "Rv1214c"
"1281" "Rv1215c" 887684 "." "NP_215731.1" "hypothetical protein" "NC_000962.3" 1357759 1359444 1685 "-" "protein_coding" "Rv1215c"
"1282" "Rv1216c" 888125 "." "NP_215732.1" "integral membrane protein" "NC_000962.3" 1359472 1360146 674 "-" "protein_coding" "Rv1216c"
"1283" "Rv1217c" 888401 "." "NP_215733.1" "tetronasin ABC transporter integral membrane protein" "NC_000962.3" 1360155 1361801 1646 "-" "protein_coding" "Rv1217c"
"1284" "Rv1218c" 888518 "." "NP_215734.1" "tetronasin ABC transporter ATP-binding protein" "NC_000962.3" 1361798 1362733 935 "-" "protein_coding" "Rv1218c"
"1285" "Rv1219c" 888582 "." "NP_215735.1" "transcriptional regulator" "NC_000962.3" 1362723 1363361 638 "-" "protein_coding" "Rv1219c"
"1286" "Rv1220c" 888419 "." "NP_215736.1" "methyltransferase" "NC_000962.3" 1363503 1364150 647 "-" "protein_coding" "Rv1220c"
"1287" "Rv1221" 888751 "sigE" "NP_215737.1" "ECF RNA polymerase sigma factor SigE" "NC_000962.3" 1364413 1365186 773 "+" "protein_coding" "Rv1221"
"1288" "Rv1222" 885196 "rseA" "NP_215738.1" "anti-sigma E factor RseA" "NC_000962.3" 1365344 1365808 464 "+" "protein_coding" "Rv1222"
"1289" "Rv1223" 888912 "htrA" "NP_215739.2" "serine protease HtrA" "NC_000962.3" 1365875 1367461 1586 "+" "protein_coding" "Rv1223"
"1290" "Rv1224" 887143 "tatB" "NP_215740.1" "Sec-independent protein translocase protein TatB" "NC_000962.3" 1367463 1367858 395 "+" "protein_coding" "Rv1224"
"1291" "Rv1225c" 887148 "." "NP_215741.1" "hypothetical protein" "NC_000962.3" 1367891 1368721 830 "-" "protein_coding" "Rv1225c"
"1292" "Rv1226c" 887144 "." "NP_215742.1" "transmembrane protein" "NC_000962.3" 1368832 1370295 1463 "-" "protein_coding" "Rv1226c"
"1293" "Rv1227c" 885872 "." "NP_215743.1" "transmembrane protein" "NC_000962.3" 1370292 1370825 533 "-" "protein_coding" "Rv1227c"
"1295" "Rv1228" 886013 "lpqX" "NP_215744.1" "lipoprotein LpqX" "NC_000962.3" 1370920 1371477 557 "+" "protein_coding" "Rv1228"
"1294" "Rv1228a" 19394673 "." "YP_009030032.1" "hypothetical protein" "NC_000962.3" 1371529 1371702 173 "+" "protein_coding" "Rv1228a"
"1296" "Rv1229c" 886067 "mrp" "NP_215745.1" "multiple resistance/pH adaptation protein" "NC_000962.3" 1371777 1372949 1172 "-" "protein_coding" "Rv1229c"
"1297" "Rv1230c" 887134 "." "NP_215746.1" "membrane protein" "NC_000962.3" 1372962 1374197 1235 "-" "protein_coding" "Rv1230c"
"1298" "Rv1231c" 887140 "." "NP_215747.1" "membrane protein" "NC_000962.3" 1374322 1374864 542 "-" "protein_coding" "Rv1231c"
"1299" "Rv1232c" 886014 "." "NP_215748.1" "hypothetical protein" "NC_000962.3" 1374861 1376168 1307 "-" "protein_coding" "Rv1232c"
"1300" "Rv1233c" 887131 "." "NP_215749.1" "hypothetical protein" "NC_000962.3" 1376230 1376826 596 "-" "protein_coding" "Rv1233c"
"1301" "Rv1234" 887137 "." "NP_215750.1" "transmembrane protein" "NC_000962.3" 1376976 1377503 527 "+" "protein_coding" "Rv1234"
"1302" "Rv1235" 887145 "lpqY" "NP_215751.1" "trehalose ABC transporter substrate-binding lipoprotein LpqY" "NC_000962.3" 1377524 1378930 1406 "+" "protein_coding" "Rv1235"
"1303" "Rv1236" 887124 "sugA" "NP_215752.1" "sugar ABC transporter permease SugA" "NC_000962.3" 1378927 1379850 923 "+" "protein_coding" "Rv1236"
"1304" "Rv1237" 887121 "sugB" "NP_215753.1" "sugar ABC transporter permease SugB" "NC_000962.3" 1379855 1380679 824 "+" "protein_coding" "Rv1237"
"1305" "Rv1238" 887104 "sugC" "NP_215754.1" "sugar ABC transporter ATP-binding protein SugC" "NC_000962.3" 1380684 1381865 1181 "+" "protein_coding" "Rv1238"
"1306" "Rv1239c" 887106 "corA" "NP_215755.1" "magnesium and cobalt transport transmembrane protein CorA" "NC_000962.3" 1381942 1383042 1100 "-" "protein_coding" "Rv1239c"
"1307" "Rv1240" 887119 "mdh" "NP_215756.1" "malate dehydrogenase" "NC_000962.3" 1383213 1384202 989 "+" "protein_coding" "Rv1240"
"1308" "Rv1241" 887118 "vapB33" "NP_215757.1" "antitoxin VapB33" "NC_000962.3" 1384278 1384538 260 "+" "protein_coding" "Rv1241"
"1309" "Rv1242" 887095 "vapC33" "NP_215758.1" "ribonuclease VapC33" "NC_000962.3" 1384535 1384966 431 "+" "protein_coding" "Rv1242"
"1310" "Rv1243c" 887109 "PE_PGRS23" "YP_177798.1" "PE-PGRS family protein PE_PGRS23" "NC_000962.3" 1384989 1386677 1688 "-" "protein_coding" "Rv1243c"
"1311" "Rv1244" 887093 "lpqZ" "NP_215760.1" "lipoprotein LpqZ" "NC_000962.3" 1386857 1387717 860 "+" "protein_coding" "Rv1244"
"1312" "Rv1245c" 887091 "." "NP_215761.1" "short-chain type dehydrogenase/reductase" "NC_000962.3" 1387798 1388628 830 "-" "protein_coding" "Rv1245c"
"1313" "Rv1246c" 887099 "relE" "NP_215762.1" "toxin RelE" "NC_000962.3" 1388685 1388978 293 "-" "protein_coding" "Rv1246c"
"1314" "Rv1247c" 887086 "relB" "NP_215763.1" "antitoxin RelB" "NC_000962.3" 1388975 1389244 269 "-" "protein_coding" "Rv1247c"
"1315" "Rv1248c" 887084 "." "NP_215764.2" "multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase" "NC_000962.3" 1389357 1393052 3695 "-" "protein_coding" "Rv1248c"
"1316" "Rv1249c" 887077 "." "NP_215765.1" "membrane protein" "NC_000962.3" 1393194 1393982 788 "-" "protein_coding" "Rv1249c"
"1317" "Rv1250" 887073 "." "NP_215766.1" "MFS-type drug transporter" "NC_000962.3" 1394179 1395918 1739 "+" "protein_coding" "Rv1250"
"1318" "Rv1251c" 887080 "." "NP_215767.1" "hypothetical protein" "NC_000962.3" 1395821 1399240 3419 "-" "protein_coding" "Rv1251c"
"1319" "Rv1252c" 887064 "lprE" "NP_215768.1" "lipoprotein LprE" "NC_000962.3" 1399296 1399904 608 "-" "protein_coding" "Rv1252c"
"1320" "Rv1253" 887069 "deaD" "NP_215769.1" "ATP-dependent RNA helicase DeaD" "NC_000962.3" 1399970 1401661 1691 "+" "protein_coding" "Rv1253"
"1321" "Rv1254" 887076 "." "NP_215770.1" "acyltransferase" "NC_000962.3" 1401658 1402809 1151 "+" "protein_coding" "Rv1254"
"1322" "Rv1255c" 887068 "." "NP_215771.1" "HTH-type transcriptional regulator" "NC_000962.3" 1402778 1403386 608 "-" "protein_coding" "Rv1255c"
"1323" "Rv1256c" 887059 "cyp130" "NP_215772.1" "cytochrome P450 Cyp130" "NC_000962.3" 1403386 1404603 1217 "-" "protein_coding" "Rv1256c"
"1324" "Rv1257c" 887063 "." "NP_215773.1" "oxidoreductase" "NC_000962.3" 1404717 1406084 1367 "-" "protein_coding" "Rv1257c"
"1325" "Rv1258c" 887056 "." "NP_215774.1" "multidrug-efflux transporter" "NC_000962.3" 1406081 1407340 1259 "-" "protein_coding" "Rv1258c"
"1326" "Rv1259" 887047 "udgB" "NP_215775.1" "uracil DNA glycosylase" "NC_000962.3" 1407339 1408238 899 "+" "protein_coding" "Rv1259"
"1327" "Rv1260" 887044 "." "NP_215776.1" "oxidoreductase" "NC_000962.3" 1408240 1409358 1118 "+" "protein_coding" "Rv1260"
"1328" "Rv1261c" 887055 "." "NP_215777.1" "hypothetical protein" "NC_000962.3" 1409484 1409933 449 "-" "protein_coding" "Rv1261c"
"1329" "Rv1262c" 887036 "." "NP_215778.1" "hypothetical protein" "NC_000962.3" 1409938 1410372 434 "-" "protein_coding" "Rv1262c"
"1330" "Rv1263" 887041 "amiB2" "NP_215779.1" "amidase AmiB" "NC_000962.3" 1410431 1411819 1388 "+" "protein_coding" "Rv1263"
"1331" "Rv1264" 887035 "." "NP_215780.1" "adenylyl cyclase" "NC_000962.3" 1411894 1413087 1193 "+" "protein_coding" "Rv1264"
"1332" "Rv1265" 887058 "." "NP_215781.1" "hypothetical protein" "NC_000962.3" 1413260 1413940 680 "+" "protein_coding" "Rv1265"
"1333" "Rv1266c" 887023 "pknH" "NP_215782.1" "serine/threonine-protein kinase PknH" "NC_000962.3" 1413960 1415840 1880 "-" "protein_coding" "Rv1266c"
"1334" "Rv1267c" 887026 "embR" "NP_215783.1" "transcriptional regulator EmbR" "NC_000962.3" 1416181 1417347 1166 "-" "protein_coding" "Rv1267c"
"1335" "Rv1268c" 887033 "." "NP_215784.1" "hypothetical protein" "NC_000962.3" 1417658 1418356 698 "-" "protein_coding" "Rv1268c"
"1336" "Rv1269c" 887039 "." "NP_215785.1" "hypothetical protein" "NC_000962.3" 1418579 1418953 374 "-" "protein_coding" "Rv1269c"
"1337" "Rv1270c" 887017 "lprA" "NP_215786.1" "lipoprotein LprA" "NC_000962.3" 1419014 1419748 734 "-" "protein_coding" "Rv1270c"
"1338" "Rv1271c" 887019 "." "NP_215787.1" "hypothetical protein" "NC_000962.3" 1419961 1420302 341 "-" "protein_coding" "Rv1271c"
"1339" "Rv1272c" 887021 "." "NP_215788.1" "drug ABC transporter ATP-binding protein" "NC_000962.3" 1420410 1422305 1895 "-" "protein_coding" "Rv1272c"
"1340" "Rv1273c" 887025 "." "NP_215789.1" "drug ABC transporter ATP-binding protein" "NC_000962.3" 1422302 1424050 1748 "-" "protein_coding" "Rv1273c"
"1341" "Rv1274" 887011 "lprB" "NP_215790.1" "lipoprotein LprB" "NC_000962.3" 1424197 1424754 557 "+" "protein_coding" "Rv1274"
"1342" "Rv1275" 887014 "lprC" "NP_215791.1" "lipoprotein LprC" "NC_000962.3" 1424751 1425293 542 "+" "protein_coding" "Rv1275"
"1343" "Rv1276c" 887000 "." "NP_215792.1" "hypothetical protein" "NC_000962.3" 1425438 1425914 476 "-" "protein_coding" "Rv1276c"
"1344" "Rv1277" 887001 "." "NP_215793.1" "hypothetical protein" "NC_000962.3" 1426164 1427417 1253 "+" "protein_coding" "Rv1277"
"1345" "Rv1278" 887005 "." "NP_215794.1" "hypothetical protein" "NC_000962.3" 1427414 1430041 2627 "+" "protein_coding" "Rv1278"
"1346" "Rv1279" 887002 "." "NP_215795.1" "GMC-type oxidoreductase" "NC_000962.3" 1430062 1431648 1586 "+" "protein_coding" "Rv1279"
"1347" "Rv1280c" 886985 "oppA" "NP_215796.1" "oligopeptide ABC transporter substrate-binding lipoprotein OppA" "NC_000962.3" 1431665 1433440 1775 "-" "protein_coding" "Rv1280c"
"1348" "Rv1281c" 886997 "oppD" "NP_215797.1" "oligopeptide ABC transporter ATP-binding protein OppD" "NC_000962.3" 1433433 1435271 1838 "-" "protein_coding" "Rv1281c"
"1349" "Rv1282c" 886980 "oppC" "NP_215798.1" "oligopeptide ABC transporter permease OppC" "NC_000962.3" 1435268 1436143 875 "-" "protein_coding" "Rv1282c"
"1350" "Rv1283c" 886981 "oppB" "NP_215799.1" "oligopeptide ABC transporter permease OppB" "NC_000962.3" 1436140 1437117 977 "-" "protein_coding" "Rv1283c"
"1351" "Rv1284" 886987 "canA" "NP_215800.1" "beta-carbonic anhydrase" "NC_000962.3" 1437324 1437815 491 "+" "protein_coding" "Rv1284"
"1352" "Rv1285" 886979 "cysD" "NP_215801.1" "sulfate adenylyltransferase subunit 2" "NC_000962.3" 1437909 1438907 998 "+" "protein_coding" "Rv1285"
"1353" "Rv1286" 886978 "." "NP_215802.1" "adenylyl-sulfate kinase" "NC_000962.3" 1438907 1440751 1844 "+" "protein_coding" "Rv1286"
"1354" "Rv1287" 886998 "." "NP_215803.1" "HTH-type transcriptional regulator" "NC_000962.3" 1440805 1441290 485 "+" "protein_coding" "Rv1287"
"1355" "Rv1288" 886974 "." "NP_215804.1" "hypothetical protein" "NC_000962.3" 1441348 1442718 1370 "+" "protein_coding" "Rv1288"
"1356" "Rv1289" 886994 "." "NP_215805.1" "hypothetical protein" "NC_000962.3" 1442767 1443399 632 "+" "protein_coding" "Rv1289"
"1358" "Rv1290A" 3205114 "." "YP_177642.1" "hypothetical protein" "NC_000962.3" 1445058 1445372 314 "+" "protein_coding" "Rv1290A"
"1357" "Rv1290c" 886971 "." "NP_215806.1" "hypothetical protein" "NC_000962.3" 1443482 1445047 1565 "-" "protein_coding" "Rv1290c"
"1359" "Rv1291c" 886975 "." "NP_215807.1" "hypothetical protein" "NC_000962.3" 1445499 1445834 335 "-" "protein_coding" "Rv1291c"
"1360" "Rv1292" 886964 "argS" "NP_215808.1" "arginine--tRNA ligase" "NC_000962.3" 1446379 1448031 1652 "+" "protein_coding" "Rv1292"
"1361" "Rv1293" 886960 "lysA" "NP_215809.1" "diaminopimelate decarboxylase" "NC_000962.3" 1448028 1449371 1343 "+" "protein_coding" "Rv1293"
"1362" "Rv1294" 886962 "thrA" "NP_215810.1" "homoserine dehydrogenase" "NC_000962.3" 1449375 1450700 1325 "+" "protein_coding" "Rv1294"
"1363" "Rv1295" 886957 "thrC" "NP_215811.1" "threonine synthase" "NC_000962.3" 1450697 1451779 1082 "+" "protein_coding" "Rv1295"
"1364" "Rv1296" 886958 "thrB" "NP_215812.1" "homoserine kinase" "NC_000962.3" 1451997 1452947 950 "+" "protein_coding" "Rv1296"
"1365" "Rv1297" 886952 "rho" "NP_215813.1" "transcription termination factor Rho" "NC_000962.3" 1453204 1455012 1808 "+" "protein_coding" "Rv1297"
"1366" "Rv1298" 886955 "rpmE" "NP_215814.1" "50S ribosomal protein L31" "NC_000962.3" 1455163 1455405 242 "+" "protein_coding" "Rv1298"
"1367" "Rv1299" 886948 "prfA" "NP_215815.1" "peptide chain release factor PrfA" "NC_000962.3" 1455495 1456568 1073 "+" "protein_coding" "Rv1299"
"1368" "Rv1300" 886950 "hemK" "NP_215816.1" "release factor glutamine methyltransferase" "NC_000962.3" 1456565 1457542 977 "+" "protein_coding" "Rv1300"
"1369" "Rv1301" 886970 "." "NP_215817.1" "threonylcarbamoyl-AMP synthase" "NC_000962.3" 1457558 1458211 653 "+" "protein_coding" "Rv1301"
"1370" "Rv1302" 886947 "rfe" "NP_215818.1" "decaprenyl-phosphate N-acetylglucosaminephosphotransferase" "NC_000962.3" 1458295 1459509 1214 "+" "protein_coding" "Rv1302"
"1371" "Rv1303" 886944 "." "NP_215819.1" "hypothetical protein" "NC_000962.3" 1459766 1460251 485 "+" "protein_coding" "Rv1303"
"1372" "Rv1304" 886941 "atpB" "NP_215820.1" "ATP synthase subunit A" "NC_000962.3" 1460244 1460996 752 "+" "protein_coding" "Rv1304"
"1373" "Rv1305" 886937 "atpE" "NP_215821.1" "ATP synthase subunit C" "NC_000962.3" 1461045 1461290 245 "+" "protein_coding" "Rv1305"
"1374" "Rv1306" 886939 "atpF" "NP_215822.1" "ATP synthase subunit B" "NC_000962.3" 1461321 1461836 515 "+" "protein_coding" "Rv1306"
"1375" "Rv1307" 886934 "atpH" "NP_215823.1" "ATP synthase subunit b/delta" "NC_000962.3" 1461843 1463183 1340 "+" "protein_coding" "Rv1307"
"1376" "Rv1308" 886936 "atpA" "NP_215824.1" "ATP synthase subunit alpha" "NC_000962.3" 1463228 1464877 1649 "+" "protein_coding" "Rv1308"
"1377" "Rv1309" 886929 "atpG" "NP_215825.1" "ATP synthase subunit gamma" "NC_000962.3" 1464884 1465801 917 "+" "protein_coding" "Rv1309"
"1378" "Rv1310" 886932 "atpD" "NP_215826.1" "ATP synthase subunit beta" "NC_000962.3" 1465841 1467301 1460 "+" "protein_coding" "Rv1310"
"1379" "Rv1311" 886967 "atpC" "NP_215827.1" "ATP synthase subunit epsilon" "NC_000962.3" 1467315 1467680 365 "+" "protein_coding" "Rv1311"
"1380" "Rv1312" 886930 "." "NP_215828.1" "hypothetical protein" "NC_000962.3" 1467688 1468131 443 "+" "protein_coding" "Rv1312"
"1381" "Rv1313c" 886922 "." "NP_215829.1" "insertion sequence element IS1557 transposase" "NC_000962.3" 1468171 1469505 1334 "-" "protein_coding" "Rv1313c"
"1382" "Rv1314c" 886925 "." "NP_215830.1" "cob(I)yrinic acid a,c-diamide adenosyltransferase" "NC_000962.3" 1469671 1470252 581 "-" "protein_coding" "Rv1314c"
"1383" "Rv1315" 886921 "murA" "NP_215831.1" "UDP-N-acetylglucosamine 1-carboxyvinyltransferase" "NC_000962.3" 1470321 1471577 1256 "+" "protein_coding" "Rv1315"
"1384" "Rv1316c" 886913 "ogt" "NP_215832.1" "methylated-DNA--protein-cysteine methyltransferase" "NC_000962.3" 1477134 1477631 497 "-" "protein_coding" "Rv1316c"
"1385" "Rv1317c" 886916 "alkA" "NP_215833.1" "bifunctional regulatory protein/DNA repair enzyme AlkA" "NC_000962.3" 1477628 1479118 1490 "-" "protein_coding" "Rv1317c"
"1386" "Rv1318c" 886910 "." "NP_215834.1" "adenylate cyclase" "NC_000962.3" 1479199 1480824 1625 "-" "protein_coding" "Rv1318c"
"1387" "Rv1319c" 886911 "." "NP_215835.1" "adenylate cyclase" "NC_000962.3" 1480894 1482501 1607 "-" "protein_coding" "Rv1319c"
"1388" "Rv1320c" 886906 "." "NP_215836.1" "adenylate cyclase" "NC_000962.3" 1482514 1484217 1703 "-" "protein_coding" "Rv1320c"
"1389" "Rv1321" 886908 "." "NP_215837.1" "endonuclease NucS" "NC_000962.3" 1484279 1484959 680 "+" "protein_coding" "Rv1321"
"1391" "Rv1322" 886927 "." "NP_215838.1" "hypothetical protein" "NC_000962.3" 1484982 1485278 296 "+" "protein_coding" "Rv1322"
"1390" "Rv1322A" 3205097 "." "YP_177643.1" "hypothetical protein" "NC_000962.3" 1485313 1485771 458 "-" "protein_coding" "Rv1322A"
"1392" "Rv1323" 886904 "fadA4" "NP_215839.1" "acetyl-CoA acetyltransferase" "NC_000962.3" 1485862 1487031 1169 "+" "protein_coding" "Rv1323"
"1393" "Rv1324" 886897 "." "NP_215840.1" "thioredoxin" "NC_000962.3" 1487161 1488075 914 "+" "protein_coding" "Rv1324"
"1394" "Rv1325c" 886899 "PE_PGRS24" "YP_177799.1" "PE-PGRS family protein PE_PGRS24" "NC_000962.3" 1488154 1489965 1811 "-" "protein_coding" "Rv1325c"
"1395" "Rv1326c" 886893 "glgB" "NP_215842.1" "1,4-alpha-glucan branching protein" "NC_000962.3" 1490117 1492312 2195 "-" "protein_coding" "Rv1326c"
"1396" "Rv1327c" 886895 "glgE" "NP_215843.2" "alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase" "NC_000962.3" 1492320 1494425 2105 "-" "protein_coding" "Rv1327c"
"1397" "Rv1328" 886886 "glgP" "NP_215844.1" "glycogen phosphorylase" "NC_000962.3" 1494564 1497155 2591 "+" "protein_coding" "Rv1328"
"1398" "Rv1329c" 886889 "dinG" "NP_215845.1" "ATP-dependent helicase DinG" "NC_000962.3" 1497195 1499189 1994 "-" "protein_coding" "Rv1329c"
"1399" "Rv1330c" 886884 "pncB1" "NP_215846.2" "nicotinic acid phosphoribosyltransferase PncB1" "NC_000962.3" 1499213 1500559 1346 "-" "protein_coding" "Rv1330c"
"1400" "Rv1331" 886891 "." "NP_215847.1" "ATP-dependent Clp protease adapter protein ClpS" "NC_000962.3" 1500661 1500966 305 "+" "protein_coding" "Rv1331"
"1401" "Rv1332" 886901 "." "NP_215848.1" "transcriptional regulator" "NC_000962.3" 1500926 1501582 656 "+" "protein_coding" "Rv1332"
"1402" "Rv1333" 886882 "." "NP_215849.1" "hydrolase" "NC_000962.3" 1501599 1502633 1034 "+" "protein_coding" "Rv1333"
"1403" "Rv1334" 886875 "mec" "NP_215850.1" "[CysO]-cysteine peptidase" "NC_000962.3" 1502641 1503081 440 "+" "protein_coding" "Rv1334"
"1404" "Rv1335" 886879 "cysO" "NP_215851.1" "sulfur carrier protein CysO" "NC_000962.3" 1503103 1503384 281 "+" "protein_coding" "Rv1335"
"1405" "Rv1336" 886867 "cysM" "NP_215852.1" "O-phosphoserine sulfhydrylase" "NC_000962.3" 1503394 1504365 971 "+" "protein_coding" "Rv1336"
